time_elapsed,mode,fps,inference_ms,confidence
12.19,heuristic,45.0,0.0,0.0
12.26,heuristic,41.9,0.0,0.0
12.34,heuristic,43.6,0.0,0.0
12.4,heuristic,46.4,0.0,0.0
12.46,heuristic,42.6,0.0,0.0
12.54,heuristic,50.0,0.0,0.0
12.6,heuristic,45.1,0.0,0.0
12.67,heuristic,40.8,0.0,0.0
12.74,heuristic,40.6,0.0,0.0
12.82,heuristic,45.9,0.0,0.0
12.88,heuristic,47.0,0.0,0.0
12.94,heuristic,47.5,0.0,0.0
13.01,heuristic,41.8,0.0,0.0
13.07,heuristic,41.2,0.0,0.0
13.14,heuristic,53.3,0.0,0.0
13.21,heuristic,40.9,0.0,0.0
13.29,heuristic,43.1,0.0,0.0
13.36,heuristic,41.5,0.0,0.0
13.44,heuristic,47.6,0.0,0.0
13.5,heuristic,44.3,0.0,0.0
13.56,heuristic,46.1,0.0,0.0
13.64,heuristic,42.3,0.0,0.0
13.72,heuristic,45.2,0.0,0.0
13.8,heuristic,43.2,0.0,0.0
13.87,heuristic,47.4,0.0,0.0
13.94,heuristic,35.5,0.0,0.0
14.01,heuristic,49.8,0.0,0.0
14.08,heuristic,39.9,0.0,0.0
14.15,heuristic,48.7,0.0,0.0
14.22,heuristic,43.7,0.0,0.0
14.3,heuristic,46.2,0.0,0.0
14.36,heuristic,41.8,0.0,0.0
14.43,heuristic,48.0,0.0,0.0
14.5,heuristic,44.5,0.0,0.0
14.59,heuristic,31.0,0.0,0.0
14.65,heuristic,41.9,0.0,0.0
14.73,heuristic,50.9,0.0,0.0
14.8,heuristic,33.1,0.0,0.0
14.87,heuristic,42.8,0.0,0.0
14.95,heuristic,48.8,0.0,0.0
15.01,heuristic,44.8,0.0,0.0
15.09,heuristic,38.7,0.0,0.0
15.16,heuristic,46.2,0.0,0.0
15.23,heuristic,38.6,0.0,0.0
15.31,heuristic,37.5,0.0,0.0
15.39,heuristic,29.4,0.0,0.0
15.47,heuristic,47.3,0.0,0.0
15.56,heuristic,28.0,0.0,0.0
15.65,heuristic,40.2,0.0,0.0
15.72,heuristic,43.7,0.0,0.0
15.8,heuristic,39.5,0.0,0.0
15.88,heuristic,45.5,0.0,0.0
15.94,heuristic,44.9,0.0,0.0
16.0,heuristic,44.6,0.0,0.0
16.08,heuristic,44.1,0.0,0.0
16.14,heuristic,53.4,0.0,0.0
16.21,heuristic,41.8,0.0,0.0
16.29,heuristic,37.5,0.0,0.0
16.36,heuristic,44.9,0.0,0.0
16.44,heuristic,42.4,0.0,0.0
16.51,heuristic,43.7,0.0,0.0
16.58,heuristic,35.3,0.0,0.0
16.66,heuristic,35.6,0.0,0.0
16.73,heuristic,48.4,0.0,0.0
16.79,heuristic,43.1,0.0,0.0
16.86,heuristic,42.6,0.0,0.0
16.92,heuristic,40.4,0.0,0.0
16.99,heuristic,45.9,0.0,0.0
17.05,heuristic,47.4,0.0,0.0
17.11,heuristic,45.5,0.0,0.0
17.18,heuristic,46.7,0.0,0.0
17.25,heuristic,41.8,0.0,0.0
17.32,heuristic,43.1,0.0,0.0
17.4,heuristic,44.7,0.0,0.0
17.46,heuristic,43.8,0.0,0.0
17.56,heuristic,22.6,0.0,0.0
17.61,heuristic,54.1,0.0,0.0
17.8,heuristic,7.8,0.0,0.0
17.86,heuristic,39.2,0.0,0.0
17.94,heuristic,48.4,0.0,0.0
18.0,heuristic,41.6,0.0,0.0
18.08,heuristic,45.0,0.0,0.0
18.13,heuristic,60.0,0.0,0.0
18.2,heuristic,42.6,0.0,0.0
18.28,heuristic,47.4,0.0,0.0
18.34,heuristic,51.6,0.0,0.0
18.4,heuristic,46.2,0.0,0.0
18.46,heuristic,48.8,0.0,0.0
18.54,heuristic,52.9,0.0,0.0
18.6,heuristic,48.5,0.0,0.0
18.67,heuristic,46.3,0.0,0.0
18.74,heuristic,35.2,0.0,0.0
18.8,heuristic,54.8,0.0,0.0
18.87,heuristic,41.5,0.0,0.0
18.94,heuristic,48.4,0.0,0.0
19.01,heuristic,51.5,0.0,0.0
19.07,heuristic,47.6,0.0,0.0
19.15,heuristic,43.1,0.0,0.0
19.22,heuristic,49.0,0.0,0.0
19.28,heuristic,52.8,0.0,0.0
19.35,heuristic,49.3,0.0,0.0
19.41,heuristic,47.6,0.0,0.0
19.47,heuristic,51.1,0.0,0.0
19.53,heuristic,52.8,0.0,0.0
19.6,heuristic,46.3,0.0,0.0
19.66,heuristic,48.8,0.0,0.0
19.72,heuristic,50.5,0.0,0.0
19.78,heuristic,47.7,0.0,0.0
19.85,heuristic,52.2,0.0,0.0
19.91,heuristic,51.7,0.0,0.0
19.97,heuristic,48.5,0.0,0.0
20.03,heuristic,39.5,0.0,0.0
20.1,heuristic,51.4,0.0,0.0
20.19,heuristic,40.7,0.0,0.0
20.26,heuristic,52.9,0.0,0.0
20.32,heuristic,51.5,0.0,0.0
20.41,heuristic,20.6,0.0,0.0
20.51,heuristic,39.6,0.0,0.0
20.59,heuristic,39.5,0.0,0.0
20.66,heuristic,43.8,0.0,0.0
20.74,heuristic,42.1,0.0,0.0
20.82,heuristic,45.3,0.0,0.0
20.88,heuristic,37.7,0.0,0.0
20.95,heuristic,50.3,0.0,0.0
21.02,heuristic,46.8,0.0,0.0
21.09,heuristic,33.9,0.0,0.0
21.17,heuristic,27.8,0.0,0.0
21.25,heuristic,43.7,0.0,0.0
21.33,heuristic,38.7,0.0,0.0
21.4,heuristic,46.3,0.0,0.0
21.46,heuristic,51.6,0.0,0.0
21.53,heuristic,40.3,0.0,0.0
21.61,heuristic,33.3,0.0,0.0
21.7,heuristic,43.6,0.0,0.0
21.77,heuristic,43.9,0.0,0.0
21.86,heuristic,36.2,0.0,0.0
21.93,heuristic,48.2,0.0,0.0
22.01,heuristic,45.7,0.0,0.0
22.08,heuristic,30.8,0.0,0.0
22.16,heuristic,41.4,0.0,0.0
22.25,heuristic,31.0,0.0,0.0
22.32,heuristic,37.6,0.0,0.0
22.39,heuristic,41.3,0.0,0.0
22.49,heuristic,28.8,0.0,0.0
22.58,heuristic,27.2,0.0,0.0
22.65,heuristic,45.3,0.0,0.0
22.72,heuristic,44.2,0.0,0.0
22.79,heuristic,35.8,0.0,0.0
22.86,heuristic,44.2,0.0,0.0
22.94,heuristic,44.9,0.0,0.0
23.02,heuristic,37.3,0.0,0.0
23.09,heuristic,43.0,0.0,0.0
23.17,heuristic,44.5,0.0,0.0
23.26,heuristic,27.0,0.0,0.0
23.35,heuristic,28.2,0.0,0.0
23.43,heuristic,42.9,0.0,0.0
23.52,heuristic,31.9,0.0,0.0
23.59,heuristic,46.5,0.0,0.0
23.66,heuristic,50.3,0.0,0.0
23.74,heuristic,46.9,0.0,0.0
23.8,heuristic,46.6,0.0,0.0
23.86,heuristic,45.6,0.0,0.0
23.92,heuristic,44.6,0.0,0.0
23.99,heuristic,43.5,0.0,0.0
24.05,heuristic,45.7,0.0,0.0
24.11,heuristic,43.8,0.0,0.0
24.17,heuristic,43.8,0.0,0.0
24.24,heuristic,41.3,0.0,0.0
24.3,heuristic,43.3,0.0,0.0
24.37,heuristic,41.6,0.0,0.0
24.43,heuristic,41.7,0.0,0.0
24.5,heuristic,40.3,0.0,0.0
24.57,heuristic,46.9,0.0,0.0
24.63,heuristic,46.4,0.0,0.0
24.69,heuristic,47.7,0.0,0.0
24.83,heuristic,50.9,0.0,0.0
24.9,heuristic,46.1,0.0,0.0
24.96,heuristic,48.2,0.0,0.0
25.02,heuristic,47.0,0.0,0.0
25.09,heuristic,41.1,0.0,0.0
25.16,heuristic,45.7,0.0,0.0
25.22,heuristic,48.0,0.0,0.0
25.29,heuristic,43.5,0.0,0.0
25.37,heuristic,44.3,0.0,0.0
25.43,heuristic,42.7,0.0,0.0
25.51,heuristic,43.5,0.0,0.0
25.58,heuristic,42.0,0.0,0.0
25.69,heuristic,16.2,0.0,0.0
25.78,heuristic,38.0,0.0,0.0
25.85,heuristic,43.5,0.0,0.0
25.94,heuristic,37.0,0.0,0.0
26.02,heuristic,31.2,0.0,0.0
26.09,heuristic,35.3,0.0,0.0
26.17,heuristic,35.1,0.0,0.0
26.26,heuristic,44.1,0.0,0.0
26.34,heuristic,37.9,0.0,0.0
26.41,heuristic,39.5,0.0,0.0
26.49,heuristic,42.8,0.0,0.0
26.57,heuristic,42.0,0.0,0.0
26.64,heuristic,43.1,0.0,0.0
26.73,heuristic,29.1,0.0,0.0
26.8,heuristic,43.1,0.0,0.0
26.87,heuristic,45.7,0.0,0.0
26.94,heuristic,44.4,0.0,0.0
27.0,heuristic,47.0,0.0,0.0
27.06,heuristic,44.3,0.0,0.0
27.14,heuristic,43.2,0.0,0.0
27.22,heuristic,41.3,0.0,0.0
27.3,heuristic,43.2,0.0,0.0
27.37,heuristic,41.6,0.0,0.0
27.45,heuristic,44.5,0.0,0.0
27.53,heuristic,40.2,0.0,0.0
27.61,heuristic,43.8,0.0,0.0
27.68,heuristic,43.3,0.0,0.0
27.76,heuristic,45.2,0.0,0.0
27.83,heuristic,36.2,0.0,0.0
27.9,heuristic,43.9,0.0,0.0
27.98,heuristic,44.0,0.0,0.0
28.05,heuristic,41.6,0.0,0.0
28.13,heuristic,44.6,0.0,0.0
28.2,heuristic,44.9,0.0,0.0
28.26,heuristic,54.8,0.0,0.0
28.33,heuristic,51.2,0.0,0.0
28.39,heuristic,48.7,0.0,0.0
28.45,heuristic,50.0,0.0,0.0
28.52,heuristic,41.5,0.0,0.0
28.59,heuristic,49.7,0.0,0.0
28.65,heuristic,47.6,0.0,0.0
28.72,heuristic,48.4,0.0,0.0
28.79,heuristic,37.3,0.0,0.0
28.86,heuristic,46.2,0.0,0.0
28.92,heuristic,44.5,0.0,0.0
29.0,heuristic,40.5,0.0,0.0
29.08,heuristic,37.2,0.0,0.0
29.15,heuristic,49.6,0.0,0.0
29.23,heuristic,43.6,0.0,0.0
29.3,heuristic,48.4,0.0,0.0
29.36,heuristic,41.8,0.0,0.0
29.44,heuristic,43.7,0.0,0.0
29.52,heuristic,34.7,0.0,0.0
29.6,heuristic,30.0,0.0,0.0
29.68,heuristic,34.1,0.0,0.0
29.75,heuristic,47.1,0.0,0.0
29.81,heuristic,39.5,0.0,0.0
29.89,heuristic,36.8,0.0,0.0
29.96,heuristic,47.0,0.0,0.0
30.03,heuristic,39.4,0.0,0.0
30.1,heuristic,44.3,0.0,0.0
30.16,heuristic,49.1,0.0,0.0
30.23,heuristic,44.2,0.0,0.0
30.3,heuristic,34.2,0.0,0.0
30.38,heuristic,25.7,0.0,0.0
30.46,heuristic,42.5,0.0,0.0
30.54,heuristic,40.3,0.0,0.0
30.61,heuristic,48.9,0.0,0.0
30.68,heuristic,39.9,0.0,0.0
30.76,heuristic,38.9,0.0,0.0
30.83,heuristic,41.5,0.0,0.0
30.92,heuristic,37.3,0.0,0.0
30.98,heuristic,41.3,0.0,0.0
31.07,heuristic,41.0,0.0,0.0
31.15,heuristic,35.1,0.0,0.0
31.22,heuristic,42.1,0.0,0.0
31.3,heuristic,44.4,0.0,0.0
31.38,heuristic,34.4,0.0,0.0
31.46,heuristic,34.6,0.0,0.0
31.53,heuristic,50.9,0.0,0.0
31.59,heuristic,49.8,0.0,0.0
31.67,heuristic,32.5,0.0,0.0
31.73,heuristic,47.6,0.0,0.0
31.81,heuristic,45.9,0.0,0.0
31.88,heuristic,36.1,0.0,0.0
31.95,heuristic,43.7,0.0,0.0
32.02,heuristic,31.5,0.0,0.0
32.09,heuristic,40.3,0.0,0.0
32.16,heuristic,49.3,0.0,0.0
32.24,heuristic,29.7,0.0,0.0
32.3,heuristic,40.6,0.0,0.0
32.39,heuristic,32.1,0.0,0.0
32.46,heuristic,40.6,0.0,0.0
32.54,heuristic,39.7,0.0,0.0
32.61,heuristic,44.0,0.0,0.0
32.69,heuristic,44.8,0.0,0.0
32.77,heuristic,43.5,0.0,0.0
32.85,heuristic,44.2,0.0,0.0
32.93,heuristic,41.1,0.0,0.0
33.03,heuristic,20.9,0.0,0.0
33.11,heuristic,44.5,0.0,0.0
33.17,heuristic,42.9,0.0,0.0
33.25,heuristic,37.5,0.0,0.0
33.33,heuristic,36.3,0.0,0.0
33.42,heuristic,32.5,0.0,0.0
33.48,heuristic,43.9,0.0,0.0
33.55,heuristic,40.8,0.0,0.0
33.63,heuristic,30.2,0.0,0.0
33.71,heuristic,30.9,0.0,0.0
33.8,heuristic,39.1,0.0,0.0
33.87,heuristic,37.7,0.0,0.0
33.95,heuristic,36.3,0.0,0.0
34.04,heuristic,26.1,0.0,0.0
34.13,heuristic,29.1,0.0,0.0
34.21,heuristic,46.5,0.0,0.0
34.28,heuristic,30.0,0.0,0.0
34.34,heuristic,48.7,0.0,0.0
34.43,heuristic,39.6,0.0,0.0
34.5,heuristic,41.4,0.0,0.0
34.58,heuristic,45.3,0.0,0.0
34.66,heuristic,35.4,0.0,0.0
34.73,heuristic,45.0,0.0,0.0
34.8,heuristic,44.7,0.0,0.0
